title,author,year
The Great Gatsby,F. Scott Fitzgerald,1925
To Kill a Mockingbird,Harper Lee,1960
1984,George Orwell,1949
Brave New World,Aldous Huxley,1932
The Catcher in the Rye,J.D. Salinger,1951
The Lord of the Rings,J.R.R. Tolkien,1954
Pride and Prejudice,Jane Austen,1813
The Hobbit,J.R.R. Tolkien,1937
The Alchemist,Paulo Coelho,1988
The Da Vinci Code,Dan Brown,2003
The Old Man and the Sea,Ernest Hemingway,1952
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
The Shining,Stephen King,1977
The Road,Cormac McCarthy,2006
The Sun Also Rises,Ernest Hemingway,1926
The Kite Runner,Khaled Hosseini,2003
The Grapes of Wrath,John Steinbeck,1939
The Metamorphosis,Franz Kafka,1915
Wuthering Heights,Emily Brontë,1847
Frankenstein,Mary Shelley,1818
The Hobbit,J.R.R. Tolkien,1937
The Divine Comedy,Dante Alighieri,1308
The Picture of Dorian Gray,Oscar Wilde,1890
One Hundred Years of Solitude,Gabriel García Márquez,1967
The Sound and the Fury,William Faulkner,1929
The Little Prince,Antoine de Saint-Exupéry,1943
War and Peace,Leo Tolstoy,1869
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892
The Stranger,Albert Camus,1942
The Handmaid's Tale,Margaret Atwood,1985
,,
